Radius,Radius_kpc,P.A.,e_P.A.,P.A._adopted,i,e_i,i_adopted,v_rot,e_v_rot,Σ_HI
1.67,0.38,...,...,26.6,...,...,31,340,...,2.77
3.33,0.76,...,...,26.6,...,...,31,340,...,3.19
5,1.14,...,...,26.6,...,...,31,336.2,171.7,4.21
6.67,1.52,...,...,26.6,...,...,31,324.6,125.1,3.94
8.33,1.9,26.6,2.5,26.8,30.5,4.3,31,339,52.8,4.49
10,2.28,27.1,2.2,27.3,62.4,4.3,51,243.6,25.8,2.14
11.67,2.66,27.7,1.9,28.6,61,3.4,61.3,235.2,17,1.52
13.33,3.04,30.7,1.5,30.6,66.3,2.7,65.8,238.9,5.7,1.51
15,3.43,33.5,1.3,32.2,70.4,3,68.1,239.3,18.3,1.57
16.67,3.81,32.6,1.2,32.7,...,...,67.7,226.3,16.1,2.21
18.33,4.19,32.3,1,32.9,69.3,1.5,67.3,202.6,4.7,3
20,4.57,...,...,33.3,62.5,1,64.4,207.3,10.7,3.54
21.67,4.95,...,...,33.6,60.8,1.2,63.7,202.5,21.7,2.7
23.33,5.33,33.4,0.9,33.9,66.8,1.3,65.9,208.9,15.6,2.31
25,5.71,36,0.5,35.4,69.7,1.4,68.1,221.6,13.4,2.09
26.67,6.09,37,0.6,36.4,66.8,0.7,69.7,232.2,13.7,1.86
28.33,6.47,36.3,0.5,36.6,74.3,0.8,72,237.6,8.3,1.41
30,6.85,36.9,0.4,36.5,73.2,0.4,73.5,239.8,2.2,1.43
31.67,7.23,35.7,0.3,36.4,74.6,0.6,74.3,235.6,6.1,1.6
33.33,7.61,37,0.2,36.8,75,0.4,74.6,241.7,3.3,2.07
35,7.99,37.2,0.2,37.3,74.6,0.4,74.5,244.3,6.4,2.84
36.67,8.37,37.9,0.2,37.7,73.7,0.4,74.3,248.8,6.4,3.85
38.33,8.75,38.1,0.3,38,74.8,0.4,74.3,251.8,5.5,4.61
40,9.13,38,0.3,38.3,73.8,0.5,74.4,253,9.2,4.39
41.67,9.51,38.9,0.2,38.7,75,0.5,74.8,258.8,9.6,3.78
43.33,9.9,39.1,0.2,39,75.2,0.4,75.2,259,9.5,3.34
45,10.28,39.2,0.2,39.1,75.3,0.4,75.6,262.2,10.8,3.16
46.67,10.66,39.1,0.2,39,76.7,0.4,76.1,266.8,13,3.37
48.33,11.04,38.7,0.2,38.8,76.1,0.3,76.3,266.8,11.7,4.34
50,11.42,38.5,0.2,38.6,76.6,0.3,76.4,265.9,9.9,5.02
51.67,11.8,38.7,0.2,38.3,76.5,0.3,76.3,264.4,7.2,4.95
53.33,12.18,37.8,0.2,37.7,76.1,0.3,76,264.7,5.3,4.45
55,12.56,36.8,0.2,37,75.5,0.3,75.6,265.3,5.4,4.03
56.67,12.94,36.1,0.2,36.4,75.1,0.3,75.1,265.2,3.9,3.98
58.33,13.32,36.3,0.2,36.1,74.7,0.3,74.8,262,2.4,3.91
60,13.7,35.5,0.2,35.9,74.7,0.3,74.5,260.8,4.5,3.67
61.67,14.08,36,0.2,36.1,73.9,0.4,74.3,259.2,5.4,3.39
63.33,14.46,36.6,0.2,36.6,74.9,0.3,74.1,258.1,6.8,3.37
65,14.84,37.3,0.2,37.1,72.9,0.3,73.7,258.4,6.1,3.01
66.67,15.23,37.3,0.2,37.3,73.7,0.3,73.7,259.2,4.6,2.61
68.33,15.61,37.4,0.2,37.2,73.9,0.3,74.1,262.7,4.2,2.39
70,15.99,36.8,0.2,37.1,74.5,0.3,74.7,266.1,4,2
71.67,16.37,37.2,0.2,37.3,75.8,0.3,75.4,270,2.3,1.92
73.33,16.75,37.9,0.2,37.7,75.7,0.3,75.5,269.8,1,1.79
75,17.13,38.1,0.2,37.7,75.6,0.3,75.1,269.1,3.9,2.21
76.67,17.51,37.1,0.2,37.5,73.7,0.4,74.3,268.5,7.1,1.91
78.33,17.89,37.5,0.2,37.5,74.2,0.5,73.8,263,15,1.74
80,18.27,37.7,0.3,37.5,72.8,0.5,73.4,257.1,13.5,1.6
81.67,18.65,37.1,0.3,37.4,73.4,0.5,73.4,254.1,10.6,1.44
83.33,19.03,...,...,37.5,73.8,0.5,73.6,251.9,11.1,1.35
85,19.41,37.1,0.3,37.7,73.7,0.5,73.4,249.5,8.1,1.24
86.67,19.79,38.8,0.3,38.3,...,...,73.2,245.7,7.4,1.15
88.33,20.18,39.2,0.3,38.6,72.5,0.6,73,243.7,6.6,1.18
90,20.56,37.9,0.3,38.3,...,...,73,245.9,7.5,1.1
91.67,20.94,37.7,0.3,38.2,...,...,73,242.3,6.1,1.08
93.33,21.32,38.9,0.3,38.4,73,0.5,73,239.2,6.3,0.83
95,21.7,38.3,0.3,38.2,73,0.6,73.3,239.5,4.7,0.75
96.67,22.08,37.5,0.3,37.8,74.3,0.6,73.5,236.1,1.8,0.76
98.33,22.46,37.4,0.3,37.5,72.9,0.4,73.4,233.8,1.7,0.88
100,22.84,37.5,0.3,37.6,73.3,0.5,73.3,233.1,3.3,0.82
101.67,23.22,38,0.3,37.7,73.6,0.5,73.3,230.1,5.5,0.75
103.33,23.6,37.4,0.3,37.7,72.9,0.5,73.2,232.1,5,0.67
105,23.98,37.6,0.3,37.7,73.4,0.6,73.2,228.7,1.7,0.58
106.67,24.36,...,...,37.8,73,0.6,73.2,229.1,1.8,0.49
108.33,24.75,38,0.3,38,73.5,0.6,73.4,227.9,5,0.43
110,25.13,...,...,38,73.8,0.6,73.6,226.9,2,0.42
111.67,25.51,38.5,0.3,38.1,...,...,73.6,225.1,1.6,0.45
113.33,25.89,37.6,0.3,38.1,...,...,73.7,225.4,1.8,0.46
115,26.27,38.4,0.3,38.3,73.1,0.5,73.7,230.3,2,0.42
116.67,26.65,...,...,38.4,74.5,0.5,74,229,2.3,0.39
118.33,27.03,38.9,0.3,38.5,74.2,0.5,73.9,229.9,4.8,0.38
